,sentence,tokens,slots
797,potrzebuję czegoś mającego informację z problemem banku,"['potrzebuję', 'czegoś', 'mającego', 'informację', 'z', 'problemem', 'banku']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
798,"zapodaj koszty, związek i zaburzeniami hazardowymi","['zapodaj', 'koszty', ',', 'związek', 'i', 'zaburzeniami', 'hazardowymi']","['O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
799,niech będzie encyklopedia o kulturze,"['niech', 'będzie', 'encyklopedia', 'o', 'kulturze']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
800,chcę encyklopedie albo prace o tagach : karol,"['chcę', 'encyklopedie', 'albo', 'prace', 'o', 'tagach', ':', 'karol']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
801,znajdź mi rozkład odpowiedzi,"['znajdź', 'mi', 'rozkład', 'odpowiedzi']","['O', 'O', 'B-keyword', 'I-keyword']"
802,masz może encyklopedię w której są informacje o stwo hipoteza,"['masz', 'może', 'encyklopedię', 'w', 'której', 'są', 'informacje', 'o', 'stwo', 'hipoteza']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
803,niech będą przestrzeni miasta,"['niech', 'będą', 'przestrzeni', 'miasta']","['O', 'O', 'B-keyword', 'I-keyword']"
804,"no to niech będzie patent, podręcznik","['no', 'to', 'niech', 'będzie', 'patent', ',', 'podręcznik']","['O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
805,"niech już będą prace, podręczniki albo recenzje","['niech', 'już', 'będą', 'prace', ',', 'podręczniki', 'albo', 'recenzje']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
806,"no to niech będą książki, normy, artykuły bądź rozprawy","['no', 'to', 'niech', 'będą', 'książki', ',', 'normy', ',', 'artykuły', 'bądź', 'rozprawy']","['O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
807,chcę skrypt o tagu wygląd postać,"['chcę', 'skrypt', 'o', 'tagu', 'wygląd', 'postać']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
808,"dodatkowo wybieram dokument, encyklopedia lub coś","['dodatkowo', 'wybieram', 'dokument', ',', 'encyklopedia', 'lub', 'coś']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
809,no to elastyczności struktury produkcji,"['no', 'to', 'elastyczności', 'struktury', 'produkcji']","['O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
810,zaproponuj książkę bądź skrypt dotyczący problematyki łodzi,"['zaproponuj', 'książkę', 'bądź', 'skrypt', 'dotyczący', 'problematyki', 'łodzi']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
811,chciałbym naukę spo³eczny,"['chciałbym', 'naukę', 'spo³eczny']","['O', 'B-keyword', 'I-keyword']"
812,"bardziej interesuje mnie esej, publikacja albo rozprawa","['bardziej', 'interesuje', 'mnie', 'esej', ',', 'publikacja', 'albo', 'rozprawa']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
813,niech będzie książka o temacie informacji żywieniowy,"['niech', 'będzie', 'książka', 'o', 'temacie', 'informacji', 'żywieniowy']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
814,zapodaj supports maintaining ewentualnie europejska agencja rozwoju,"['zapodaj', 'supports', 'maintaining', 'ewentualnie', 'europejska', 'agencja', 'rozwoju']","['O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword', 'I-keyword']"
815,bardziej pasuje mi szkoła publiczny oraz jednocześnie władzy publicznej,"['bardziej', 'pasuje', 'mi', 'szkoła', 'publiczny', 'oraz', 'jednocześnie', 'władzy', 'publicznej']","['O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
816,już bym wolał media albo tłum,"['już', 'bym', 'wolał', 'media', 'albo', 'tłum']","['O', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
817,"no to niech będą postępowania administracyjnego, wiek albo praca","['no', 'to', 'niech', 'będą', 'postępowania', 'administracyjnego', ',', 'wiek', 'albo', 'praca']","['O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
818,"zapodaj mi coś w branży wspólnoty europejski, celu praca i przymierza","['zapodaj', 'mi', 'coś', 'w', 'branży', 'wspólnoty', 'europejski', ',', 'celu', 'praca', 'i', 'przymierza']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
819,"no to artykuły, recenzje, eseje albo rozprawy wyjaśniające kraków, wiarę, risk i romantyzm","['no', 'to', 'artykuły', ',', 'recenzje', ',', 'eseje', 'albo', 'rozprawy', 'wyjaśniające', 'kraków', ',', 'wiarę', ',', 'risk', 'i', 'romantyzm']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
820,"już bym wolał interpretacji, lean management","['już', 'bym', 'wolał', 'interpretacji', ',', 'lean', 'management']","['O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword']"
821,chcę pracę lub coś,"['chcę', 'pracę', 'lub', 'coś']","['O', 'Doc_type', 'O', 'Doc_type']"
822,"daj mi rozprawy, prace, normy ewentualnie publikacje dotyczące instytucji kulturalny albo polityki rodzinna","['daj', 'mi', 'rozprawy', ',', 'prace', ',', 'normy', 'ewentualnie', 'publikacje', 'dotyczące', 'instytucji', 'kulturalny', 'albo', 'polityki', 'rodzinna']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
823,szukam patentów odnoszących się do waldemar,"['szukam', 'patentów', 'odnoszących', 'się', 'do', 'waldemar']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
824,"zapodaj artykuł ewentualnie publikację o ny, produkcji energii odnawialnej lub strona","['zapodaj', 'artykuł', 'ewentualnie', 'publikację', 'o', 'ny', ',', 'produkcji', 'energii', 'odnawialnej', 'lub', 'strona']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
825,"niech będą rozprawy o tagach toruń, aktywność zawodowa kobiet, próba i polskiej wobec","['niech', 'będą', 'rozprawy', 'o', 'tagach', 'toruń', ',', 'aktywność', 'zawodowa', 'kobiet', ',', 'próba', 'i', 'polskiej', 'wobec']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
826,szukam encyklopedii posiadającej tag gdyni,"['szukam', 'encyklopedii', 'posiadającej', 'tag', 'gdyni']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
827,"zaproponuj mi encyklopedię, pracę ewentualnie książkę tyczącą się wilkołaki","['zaproponuj', 'mi', 'encyklopedię', ',', 'pracę', 'ewentualnie', 'książkę', 'tyczącą', 'się', 'wilkołaki']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
828,"niech będą artykuły, podręczniki, publikacje, patenty omawiające systemu, dziecku a także inspektorat szkolny","['niech', 'będą', 'artykuły', ',', 'podręczniki', ',', 'publikacje', ',', 'patenty', 'omawiające', 'systemu', ',', 'dziecku', 'a', 'także', 'inspektorat', 'szkolny']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
829,znajdź mi esej dotyczący stanowisku,"['znajdź', 'mi', 'esej', 'dotyczący', 'stanowisku']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
830,"znajdź mi normy, dokumenty, publikacje ewentualnie patenty wyjaśniające ochrony praw człowieka, isbn, joanna Juszczyk, chodzi","['znajdź', 'mi', 'normy', ',', 'dokumenty', ',', 'publikacje', 'ewentualnie', 'patenty', 'wyjaśniające', 'ochrony', 'praw', 'człowieka', ',', 'isbn', ',', 'joanna', 'Juszczyk', ',', 'chodzi']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword']"
831,poleć recenzję poświęconą społeczeństwu informacyjny,"['poleć', 'recenzję', 'poświęconą', 'społeczeństwu', 'informacyjny']","['O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
832,"zaproponuj książki, normy posiadające imperializm pruski","['zaproponuj', 'książki', ',', 'normy', 'posiadające', 'imperializm', 'pruski']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
833,"zaproponuj mi placówkę, łączenie stanowiska oraz krajów","['zaproponuj', 'mi', 'placówkę', ',', 'łączenie', 'stanowiska', 'oraz', 'krajów']","['O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
834,masz może rozprawę wyjaśniającą metodę klasyfikacja,"['masz', 'może', 'rozprawę', 'wyjaśniającą', 'metodę', 'klasyfikacja']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
835,może być publikacja albo norma obejmująca fragment naczynie,"['może', 'być', 'publikacja', 'albo', 'norma', 'obejmująca', 'fragment', 'naczynie']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
836,"chcę recenzje ewentualnie encyklopedie w zakresie logistyczne, red. oraz czechosłowackich","['chcę', 'recenzje', 'ewentualnie', 'encyklopedie', 'w', 'zakresie', 'logistyczne', ',', 'red.', 'oraz', 'czechosłowackich']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
837,no to może być odpowiedzialności cywilnej,"['no', 'to', 'może', 'być', 'odpowiedzialności', 'cywilnej']","['O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
838,chciałabym recenzje w której są informacje z tematu prymasa polski august,"['chciałabym', 'recenzje', 'w', 'której', 'są', 'informacje', 'z', 'tematu', 'prymasa', 'polski', 'august']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
839,"zaproponuj mi skrypty, prace, coś co wyjaśni mi temat najzieleńszych energia","['zaproponuj', 'mi', 'skrypty', ',', 'prace', ',', 'coś', 'co', 'wyjaśni', 'mi', 'temat', 'najzieleńszych', 'energia']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
840,niech będzie esej posiadający wyjaśnienie problemu kapitału,"['niech', 'będzie', 'esej', 'posiadający', 'wyjaśnienie', 'problemu', 'kapitału']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
841,już bym wolał okładzinę cierny,"['już', 'bym', 'wolał', 'okładzinę', 'cierny']","['O', 'O', 'O', 'B-keyword', 'I-keyword']"
842,no to acta universitatis,"['no', 'to', 'acta', 'universitatis']","['O', 'O', 'B-keyword', 'I-keyword']"
843,niech będą publikacje ewentualnie normy,"['niech', 'będą', 'publikacje', 'ewentualnie', 'normy']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
844,"potrzebuję publikacji, książki ewentualnie coś związanego z tematem kształcenia","['potrzebuję', 'publikacji', ',', 'książki', 'ewentualnie', 'coś', 'związanego', 'z', 'tematem', 'kształcenia']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
845,daj mi dokument tyczący się problemu osadów,"['daj', 'mi', 'dokument', 'tyczący', 'się', 'problemu', 'osadów']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
846,chciałbym encyklopedię albo skrypt,"['chciałbym', 'encyklopedię', 'albo', 'skrypt']","['O', 'Doc_type', 'O', 'Doc_type']"
847,bardziej pasuje mi public space,"['bardziej', 'pasuje', 'mi', 'public', 'space']","['O', 'O', 'O', 'B-keyword', 'I-keyword']"
848,"potrzebuję patentów, norm, skryptów mających szymanowski, człowieka","['potrzebuję', 'patentów', ',', 'norm', ',', 'skryptów', 'mających', 'szymanowski', ',', 'człowieka']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword']"
849,weź mi poleć coś mającego związek z problemem dynamiki i miast województwa,"['weź', 'mi', 'poleć', 'coś', 'mającego', 'związek', 'z', 'problemem', 'dynamiki', 'i', 'miast', 'województwa']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
850,"potrzebuję rozprawy, skryptu albo książki która informuje na temat wyzwania polityki rodzinnej, gruntu rzecz","['potrzebuję', 'rozprawy', ',', 'skryptu', 'albo', 'książki', 'która', 'informuje', 'na', 'temat', 'wyzwania', 'polityki', 'rodzinnej', ',', 'gruntu', 'rzecz']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword']"
851,zapodaj mi podręcznik o tagu stan zapłacić oraz chemii,"['zapodaj', 'mi', 'podręcznik', 'o', 'tagu', 'stan', 'zapłacić', 'oraz', 'chemii']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
852,"weź mi poleć eseje lub prace związane z dziedziną człowieka, mass media i do tego unii europejskiej powoduje","['weź', 'mi', 'poleć', 'eseje', 'lub', 'prace', 'związane', 'z', 'dziedziną', 'człowieka', ',', 'mass', 'media', 'i', 'do', 'tego', 'unii', 'europejskiej', 'powoduje']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
853,niech będzie encyklopedia o problematyce teoretyczne anna,"['niech', 'będzie', 'encyklopedia', 'o', 'problematyce', 'teoretyczne', 'anna']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
854,"masz może normę, publikację ewentualnie patent posiadający kondycję ludzki, zwrotu portfela","['masz', 'może', 'normę', ',', 'publikację', 'ewentualnie', 'patent', 'posiadający', 'kondycję', 'ludzki', ',', 'zwrotu', 'portfela']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword']"
855,weź mi daj dokumenty które wyjaśni mi temat całożyciowej,"['weź', 'mi', 'daj', 'dokumenty', 'które', 'wyjaśni', 'mi', 'temat', 'całożyciowej']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
856,może artykuły lub podręczniki,"['może', 'artykuły', 'lub', 'podręczniki']","['O', 'Doc_type', 'O', 'Doc_type']"
857,zapodaj patent informujący o temacie kompetencji nauczyciel,"['zapodaj', 'patent', 'informujący', 'o', 'temacie', 'kompetencji', 'nauczyciel']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
858,"polecisz mi coś odnoszącego się do nieznajdowań, przychodów bądź warszawy","['polecisz', 'mi', 'coś', 'odnoszącego', 'się', 'do', 'nieznajdowań', ',', 'przychodów', 'bądź', 'warszawy']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
859,"znajdź skrypty, encyklopedie poświęcone tematyce spotkania","['znajdź', 'skrypty', ',', 'encyklopedie', 'poświęcone', 'tematyce', 'spotkania']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
860,weź mi poleć podręczniki opisujące cech albo narrację kulturoznawczy,"['weź', 'mi', 'poleć', 'podręczniki', 'opisujące', 'cech', 'albo', 'narrację', 'kulturoznawczy']","['O', 'O', 'O', 'Doc_type', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
861,"chciałabym esej wyjaśniający problem nowego technologia, życia, level of autonomy i do tego summons forth","['chciałabym', 'esej', 'wyjaśniający', 'problem', 'nowego', 'technologia', ',', 'życia', ',', 'level', 'of', 'autonomy', 'i', 'do', 'tego', 'summons', 'forth']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
862,"zaproponuj eseje, publikacje w której są : grupy badanie, społeczeństwa, prostate cancer i do tego transakcyjnych","['zaproponuj', 'eseje', ',', 'publikacje', 'w', 'której', 'są', ':', 'grupy', 'badanie', ',', 'społeczeństwa', ',', 'prostate', 'cancer', 'i', 'do', 'tego', 'transakcyjnych']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
863,zapodaj mi publikacje odnoszące się do ośrodki pomocy społecznej i znaczenia marka,"['zapodaj', 'mi', 'publikacje', 'odnoszące', 'się', 'do', 'ośrodki', 'pomocy', 'społecznej', 'i', 'znaczenia', 'marka']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
864,znajdź coś poświęconego tematyce społecznych,"['znajdź', 'coś', 'poświęconego', 'tematyce', 'społecznych']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
865,może publikacje bądź książki odnośnie tematyki polonijnych uniwersytetu jagiellońskiego,"['może', 'publikacje', 'bądź', 'książki', 'odnośnie', 'tematyki', 'polonijnych', 'uniwersytetu', 'jagiellońskiego']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
866,"chciałbym patent informujący na temat grup, umiejętności, używania świateł mijania oraz jednocześnie como","['chciałbym', 'patent', 'informujący', 'na', 'temat', 'grup', ',', 'umiejętności', ',', 'używania', 'świateł', 'mijania', 'oraz', 'jednocześnie', 'como']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
867,może być magia,"['może', 'być', 'magia']","['O', 'O', 'B-keyword']"
868,może być podręcznik albo recenzja obejmująca wartość prawda i do tego ulisses,"['może', 'być', 'podręcznik', 'albo', 'recenzja', 'obejmująca', 'wartość', 'prawda', 'i', 'do', 'tego', 'ulisses']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
869,no to dokumenty,"['no', 'to', 'dokumenty']","['O', 'O', 'Doc_type']"
870,"daj mi rozprawy, podręczniki ewentualnie dokumenty w zakresie prawej","['daj', 'mi', 'rozprawy', ',', 'podręczniki', 'ewentualnie', 'dokumenty', 'w', 'zakresie', 'prawej']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
871,może być esej informujący na temat nowego a także niem,"['może', 'być', 'esej', 'informujący', 'na', 'temat', 'nowego', 'a', 'także', 'niem']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
872,no to wybieram lokowanie idei,"['no', 'to', 'wybieram', 'lokowanie', 'idei']","['O', 'O', 'O', 'B-keyword', 'I-keyword']"
873,"zapodaj mi eseje, recenzje, encyklopedie lub podręczniki związane z dziedziną takich przypadek, nauki oraz jednocześnie świadczenia","['zapodaj', 'mi', 'eseje', ',', 'recenzje', ',', 'encyklopedie', 'lub', 'podręczniki', 'związane', 'z', 'dziedziną', 'takich', 'przypadek', ',', 'nauki', 'oraz', 'jednocześnie', 'świadczenia']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
874,no to niech będą patenty lub dokumenty,"['no', 'to', 'niech', 'będą', 'patenty', 'lub', 'dokumenty']","['O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
875,niech będzie dokument informujący na temat alfonsa,"['niech', 'będzie', 'dokument', 'informujący', 'na', 'temat', 'alfonsa']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
876,masz może książkę omawiającą fotografię i biblioteki głównej uniwersytetu,"['masz', 'może', 'książkę', 'omawiającą', 'fotografię', 'i', 'biblioteki', 'głównej', 'uniwersytetu']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
877,zapodaj mi dokument omawiający problem mistrzostw zawodowego oraz jednocześnie rzymu,"['zapodaj', 'mi', 'dokument', 'omawiający', 'problem', 'mistrzostw', 'zawodowego', 'oraz', 'jednocześnie', 'rzymu']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
878,"niech będą artykuły, skrypty, książki ewentualnie prace poruszające problematykę z tematem siebie","['niech', 'będą', 'artykuły', ',', 'skrypty', ',', 'książki', 'ewentualnie', 'prace', 'poruszające', 'problematykę', 'z', 'tematem', 'siebie']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
879,"daj podręczniki, prace bądź publikacje mówiące o rozwoju shenzhen","['daj', 'podręczniki', ',', 'prace', 'bądź', 'publikacje', 'mówiące', 'o', 'rozwoju', 'shenzhen']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
880,"niech będzie praca, rozprawa informująca o działania","['niech', 'będzie', 'praca', ',', 'rozprawa', 'informująca', 'o', 'działania']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
881,"polecisz mi patent odnośnie Brzozowskiego pamiętnik, toma myersać, wydarzenia specjalny i książki","['polecisz', 'mi', 'patent', 'odnośnie', 'Brzozowskiego', 'pamiętnik', ',', 'toma', 'myersać', ',', 'wydarzenia', 'specjalny', 'i', 'książki']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
882,niech będą dokumenty dotyczące : bibliotek,"['niech', 'będą', 'dokumenty', 'dotyczące', ':', 'bibliotek']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
883,"poleć mi encyklopedie, publikacje, książki albo normy odnośnie dzieła specyficzny","['poleć', 'mi', 'encyklopedie', ',', 'publikacje', ',', 'książki', 'albo', 'normy', 'odnośnie', 'dzieła', 'specyficzny']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
884,chciałbym linii komunikacji miejskiej,"['chciałbym', 'linii', 'komunikacji', 'miejskiej']","['O', 'B-keyword', 'I-keyword', 'I-keyword']"
885,no to wiecznym żydzie tułaczu lub rolę,"['no', 'to', 'wiecznym', 'żydzie', 'tułaczu', 'lub', 'rolę']","['O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
886,bardziej eseje,"['bardziej', 'eseje']","['O', 'Doc_type']"
887,"masz może dokument z samooceną ogólny, obniżony ciśnienie, komunikacji a także językiem","['masz', 'może', 'dokument', 'z', 'samooceną', 'ogólny', ',', 'obniżony', 'ciśnienie', ',', 'komunikacji', 'a', 'także', 'językiem']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
888,"niech będą książki, skrypty lub dokumenty w którym znajdę haseł","['niech', 'będą', 'książki', ',', 'skrypty', 'lub', 'dokumenty', 'w', 'którym', 'znajdę', 'haseł']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
889,no to może być miasta a także szansę,"['no', 'to', 'może', 'być', 'miasta', 'a', 'także', 'szansę']","['O', 'O', 'O', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
890,może być pomników przyrody lub wartości,"['może', 'być', 'pomników', 'przyrody', 'lub', 'wartości']","['O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
891,niech już będzie encyklopedia bądź rozprawa,"['niech', 'już', 'będzie', 'encyklopedia', 'bądź', 'rozprawa']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
892,"wybieram esej, normę, publikację ewentualnie recenzję","['wybieram', 'esej', ',', 'normę', ',', 'publikację', 'ewentualnie', 'recenzję']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
893,no to wolę książkę,"['no', 'to', 'wolę', 'książkę']","['O', 'O', 'O', 'Doc_type']"
894,"weź mi poleć książkę, rozprawę, skrypt lub pracę","['weź', 'mi', 'poleć', 'książkę', ',', 'rozprawę', ',', 'skrypt', 'lub', 'pracę']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
895,"chciałbym recenzję, encyklopedię ewentualnie pracę tyczącą się poszczególnych kraj","['chciałbym', 'recenzję', ',', 'encyklopedię', 'ewentualnie', 'pracę', 'tyczącą', 'się', 'poszczególnych', 'kraj']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
896,"zapodaj patenty informujące na temat terenu, systemu prawa karnego i aktywności ruchowy","['zapodaj', 'patenty', 'informujące', 'na', 'temat', 'terenu', ',', 'systemu', 'prawa', 'karnego', 'i', 'aktywności', 'ruchowy']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
897,no to normy omawiające stopę bezrobocie,"['no', 'to', 'normy', 'omawiające', 'stopę', 'bezrobocie']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
